City e-Solutions Ltd
City e-Solutions Ltd.
Collection House Ltd
Comdisco Holding Co. Inc.
Computer And Technologies
Contax Participacoes SA
Convergys Corporation
CPU Softwarehouse AG
Credit Corp Group Ltd
CSG Ltd
Cura Technologies Ltd
Dai Nippon Printing
Datamatics Global Services Ltd
De La Rue PLC
Demos SA
Derycz Scientific
DocCheck AG
Document Security Systems
Dresdner Factoring AG
DXStorm.com Inc
Dynacons Systems
Earth Science Tech
Easy Software AG
Ecommerce Alliance AG
Edenred SA
Elite World
Encompass Group Affiliates
ePRO Ltd.
Excel Infoways Ltd
Experian PLC
Face Up Entertainment Group
Finishing Touches Home Goods I
Fisher (James) & Sons PLC
Foris AG
Francotyp-Postalia Holding AG
Frontline Business
FSA Group Ltd
FUJIFILM Holdings Corp
Gateway Distriparks Ltd
GfK AG
Global Payments Inc
Global Payments Inc.
Gold Party Payday Inc.
Great American Group
Great China Holdings Ltd.
Green Planet Group
Greenscape Cap Group
Guestlogix Inc
Healthcare Services Group Inc.
Higher One Holdings Inc
ICRA Ltd
ID Logistics
Ingenico Group SA
InterCard AG
Intermap Technologies Corp
Interserve PLC
ITE Group PLC
Johnson & Brown
Jost AG
Kps AG
Lender Processing Services
Loomis AB
Management Consulting Grp
MarketKast
McAleese Ltd
MCS Ltd.
Mensch und Maschine
Menzies (John) PLC
MGI Digital Graphic
MITIE Group PLC
MLP AG
Mobile Embrace Ltd
Modern India Ltd
Mox Deals AG
MS Industrie AG
Mutuionline
Nesco Ltd
Netgem
Nitin Fire Protection
NorCom Information Tech
NuWorld Solutions Limited
Optimal Payments PLC
Orbis AG
Oriental City Group
Paid Inc.
Panther Biotechnology
PDI Inc
Pearl Oriental Innovation Ltd.
Peer Review Mediation and Arbi
PGG Wrightson Ltd
PMP Ltd
PRO DV Software AG
RadTek
Ranklin Solutions Ltd
Redishred Capital Corp
Rentokil Initial PLC
Repro India Ltd
Research Solutions
Resource Development Group Ltd
Rexel SA
Ricardo PLC
Ritchie Bros Auctioneers Inc
Ritchie Bros. Auctioneers Inco
RMG Networks Holding Corporati
Robe Australia Limited
Rollins Inc.
RoomLinX Inc.
RPS Group PLC
SAI Global Ltd
Savvy Business Support
SGS Ltd
Shanghai Industrial
Shareholder Value
Sical Logistics Ltd
Singapore Post Ltd
Sodexo
Softronic AB
Solarpraxis AG
Spanco Telesystems & Solu
Spherix Incorporated
Stantec Inc
Stantec Inc.
Sun International
SÃ©curidev
Team
TeleTech Holdings Inc
TeleTech Holdings Inc.
The Digital Development Group
TIE Kinetix NV
TIO Networks Corp
Tradelink Elec Commerce
Trainers' House OYJ
Trans Cosmos Inc
Transaction Solutions Int
Trasy Gold Ex Ltd.
TriNet Group
Vicom Ltd
Vivimed Labs Ltd
Wanted Technologies Corp
Webmedia Brands Inc.
Wellcom Group Ltd
West Corporation
Wirecard AG
WNS (Holdings) Ltd
WNS (Holdings) Ltd.
World Energy Solutions
Xchanging PLC
Xpress Holdings Ltd
XR Energy
Yangaroo
Zaio Corporation
Ziplocal Inc
Information Services Corp
Informed Technologies
Ada Location
AerCap Holdings N.V.
AerCap Holdings NV
Air Lease Corporation
Ashtead Group PLC
Australia China Holdings Ltd
Barloworld Ltd
Black Diamond Group Ltd
Canadian Equipment Rental
Companhia de Locacao
Emeco Holdings Ltd
FLY Leasing Limited
General Finance Corporation
Hexindo Adiperkasa Tbk
India Lease Development Ltd
Manta Holdings Company Limited
Mega Corp Ltd
Northgate PLC
Nu-Tech Corporate Services Ltd
Silver Chef Ltd
Sixt SE
Tat Hong Holdings Ltd
Xenetic Biosciences
Ambassadors International Inc.
Bright Horizons Family Solutio
CEWE Stiftung & Co. KGaA
China Cord Blood Corp
General Cleaning and Maintenan
Matthews International Corpora
Park Lawn Corp
Parkit Enterprise Inc
Service Corp International Inc
Sino-Life Group Ltd.
Slater & Gordon Ltd
Weight Watchers International
ZMAY Holdings Ltd.
Student Transportation
Adecco SA
Amadeus Fire AG
Caldwell Partners
CCA International
Corporate Resource Services
CTPartners Executive Search In
DLH Holdings Corp.
Harvey Nash Group PLC
Hinduja Global Solutions Ltd
Hudson Highland Group
Kelly Services Inc
Kelly Services
Michael Page International PLC
Morneau Shepell Inc
Programmed Maintenance Se
Randstad
Robert Walters PLC
SFN Group
Synergie
The Staffing Group Ltd.
The Staffing Group
USG People NV
Advanced Card Systems
AlarmForce Industries Inc
Avante Logixx Inc
Brady Corp
China Specialty Glass AG
Command Security Corp.
Electronic Control Security In
Electronics Line 3000 Ltd
Halma PLC
Hawk Systems
Homeland Security Capital Corp
ID Watchdog Inc
InkSure Technologies Inc.
Kaba Holding AG
LottVision Ltd
Meridex Software Corp
MG International
Micro Technologies India Ltd
MSA Safety Incorporated
Nanotech Security Corp
Pacific Safety Products Inc
Prosegur SA Security Company
RCG Holdings Ltd
SECOM Co Ltd
Securitas AB
Smart-Tek Solutions Inc.
Sparc Systems Ltd
The ADT Corporation
The Brink's Company
Zicom Electronic Security
Aptech Ltd
Aspen Group
Benesse Holdings Inc
Bluedrop Performance
China Distance Education Holdi
China Education Resources Inc
CIBT Education Group Inc
Compucom Software Ltd
Core Education
Edleun Group
Educomp Solutions Ltd
Estacio Participacoes SA
Everonn Education Ltd
Houghton Mifflin Harcourt Comp
Innovation Software
Intueri Education Group Ltd
LCC Infotech Ltd
Lincoln Educational Services C
Loyalist Group Ltd
National American
Navitas Ltd
New York Tutor Company
Nord Anglia Education
North Sea Energy Inc
Usha Martin Education
Visu International Ltd
Wonder International Education
Informatics Education Ltd
Dynamic Ventures Corporation
International Safety Group
Jacobs Engineering Group Inc.
NV5 Holdings
TurkPower Corporation
URS Corporation
Infinite Group Inc.
Infrastructure Developments Co
National Research Corp.
Booz Allen Hamilton Holding Co
Exponent Inc.
Ghost Technology
GlobalOptions Group
Hill International
Huron Consulting Group Inc.
Thomas Group
Information Services Group
Aegean Airlines SA
Aer Lingus Group PLC
Air Berlin PLC
Air Canada
Air China Limited
Air China Ltd
Air France-KLM
American Airlines Group Inc.
ANA HOLDINGS INC
Cathay Pacific Airways Ltd
Cathay Pacific Airways Ltd.
China Eastern Airlines
China Eastern Airlines Corp. L
China Southern Airlines
China Southern Airlines Co Ltd
China Southern Airlines Co. Lt
Controladora Vuela Compa
Deutsche Lufthansa AG
Discovery Air Inc A
easyJet PLC
Gol Intelligent Airlines Inc
GVK Power & Infrastructure Ltd
Intl Cons Airlines Group
Jet Airways (India) Ltd
Spicejet Ltd
Tiger Airways Holdings Ltd
Westjet Airlines Ltd
Air New Zealand Ltd
Air Transport Services
Airports Of Thailand PLC
Auckland Airport
Auckland International Ai
Avation PLC
AÃ©roports de Paris
BBA Aviation PLC
Beijing Capital
Beijing Capital Airport
CHC Group Ltd.
China Travel Inter Invest
CompAGnie Aerienne
Copenhagen Airports A/S
Era Group Inc.
Finnair Oyj
gategroup Holding AG
Global Vectra Helicorp Ltd
Grupo Aeroportuario del
Grupo Aeroportuario Del
Grupo Aeroportuario del Pacifi
Grupo Aeroportuario del Surest
Guangdong Nan Yue
Hainan Meilan
Hong Kong Aircraft
Kingfisher Airlines Ltd
Norwegian Air Shuttle ASA
Pacific Airport Group
PHI Inc.
SAS AB
SIA Engineering Co Ltd
Vienna International Airport
Air Transport Services Group
Allcargo Logistics Ltd
Arshiya Ltd
Blue Dart Express Ltd
BollorÃ©
Build King Holdings Ltd.
Chalmers Ltd
Container Corp of India
Deutsche Post AG
DSV AS
Forward Air Corp.
Gati Ltd
Global Ports Investments PLC
Kamigumi Co.
Keppel Telecommunications
KÃ¼hne & Nagel
Li & Fung Ltd.
Logwin AG
Mueller - Die lila Logistik AG
Panalpina
Patel Integrated Logistics Ltd
Reibel SA
Royal Mail PLC
Sankyu
Shun Tak Holdings Ltd
SIMAT
Sinotrans Ltd
Sinotrans Ltd.
TNT Express NV
Toll Holdings Ltd
Transport Corp of India Ltd
Wheels Group Inc
Wilh Wilhelmsen Holding ASA
ABC India Ltd
Argos Enterprise holdings
Coastal Roadways Ltd
Con-way Inc.
Contrans Group Inc
CSR Corporation Ltd.
FirstGroup PLC
Integrated Freight Corporation
Knight Transportation Inc.
Lindsay Australia Ltd
Nippon Express Co Ltd
Old Dominion Freight Line Inc.
P.A.M. Transportation Services
Quality Distribution Inc.
TransForce Inc
Transport Int'l
Yamato Holdings Co Ltd
A P Moller Maersk AS
Adani Ports & Special
Algoma Central Corp
Ardmore Shipping Corporation
Arpeni Pratama Ocean Line Tbk
Asia Energy logistics
AVIC International
Bonheur ASA
Bremer Lagerhaus-Gesellschaft
China Cosco Holdings
China Cosco Holdings Co Ltd
China Merchants Holdings
China Shipping
China Shipping Container
CIA Docas de Imbituba
Compagnie Maritime Belge SA
D'Amico
Dalian Port (PDA) Co Ltd
Dalian Port (PDA) Co.
DP World Ltd
Dredging Corp of India Ltd
Essar Ports Ltd
